กรุงเทพ,,,,,,,,,,,,,,,,,
Table    15  Number of population  aged 6 years and over by reading  age group  sex  area and region  2015 (Contd.),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,การอ่าน          Reading,,,,,,,,,,,,,,,,
กลุ่มอายุ (ปี),รวม     Total,,,,อ่าน     Read,,,,ไม่อ่าน     Not read,,,,ไม่ทราบ     Unknown,,,,Age group (years) 
เขตการปกครอง และภาค,รวม,ชาย,หญิง,,รวม,ชาย,หญิง,,รวม,ชาย,หญิง,,รวม,ชาย,หญิง,,area and region
15 - 24,"2,866,903","1,439,924","1,426,979",,2518463,1217129,1301334,,334685,217115,117570,,"13,755","5,680","8,075",,15 - 24
25 - 39,"2,982,819","1,472,751","1,510,068",,2291218,1076095,1215123,,675122,386110,289011,,"16,479","10,546","5,934",,25 - 39
40 - 59,"5,705,688","2,729,466","2,976,222",,3907339,1879306,2028033,,1780791,842033,938758,,"17,558","8,128","9,431",,40 - 59
60 ขึ้นไป,"3,302,713","1,504,272","1,798,441",,1707135,842439,864696,,1592002,658996,933006,,"3,576","2,837",739,,60 and over
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ภาคใต้,,,,,,,,,,,,,,,,,
,การอ่าน          Reading,,,,,,,,,,,,,,,,
กลุ่มอายุ (ปี),รวม     Total,,,,อ่าน     Read,,,,ไม่อ่าน     Not read,,,,ไม่ทราบ     Unknown,,,,Age group (years) 
เขตการปกครอง และภาค,รวม,ชาย,หญิง,,รวม,ชาย,หญิง,,รวม,ชาย,หญิง,,รวม,ชาย,หญิง,,area and region
,Total,Male,Female,,Total,Male,Female,,Total,Male,Female,,Total,Male,Female,,
,,,,,,,,,,,,,,,,,
ภาคใต้,"8,362,682","4,105,894","4,256,788",,6279129,3063481,3215648,,2080954,1042413,1038542,,"2,598",-,"2,598",,Southern region
มิ.ย.-14,"1,165,164","594,724","570,440",,1030780,523752,507028,,133023,70972,62051,,"1,361",-,"1,361",,มิ.ย.-14
15 - 24,"1,390,158","704,599","685,559",,1188184,570153,618030,,200737,134446,66292,,"1,237",-,"1,237",,15 - 24
25 - 39,"2,082,559","1,046,959","1,035,600",,1712855,826911,885943,,369704,220048,149657,,-,-,-,,25 - 39
40 - 59,"2,483,409","1,203,483","1,279,926",,1751197,847743,903453,,732212,355740,376473,,-,-,-,,40 - 59
60 ขึ้นไป,"1,241,392","556,129","685,263",,596114,294921,301193,,645278,261208,384070,,-,-,-,,60 and over
,,,,,,,,,,,,,,,,,
